Code;Population;
SK0232502898;197;
SK0232502910;1467;
SK0232502928;747;
SK0232502936;1326;
SK0232502944;659;
SK0232502952;171;
SK0232502961;139;
SK0232502979;497;
SK0232502987;6645;
SK0232502995;1213;
SK0232503002;147;
SK0232545350;311;
SK0232555843;1037;
SK0232556777;46;
SK0232580937;158;
SK0232581135;378;
SK0232581160;721;
SK0232581895;290;
SK0233500011;76951;
SK0233500020;1747;
SK0233500046;1219;
SK0233500071;2175;
SK0233500101;1162;
SK0233500135;1079;
SK0233500160;593;
SK0233500194;1142;
SK0233500232;1977;
SK0233500313;557;
SK0233500356;2110;
SK0233500372;2086;
SK0233500381;985;
SK0233500399;180;
SK0233500402;1426;
SK0233500411;1558;
SK0233500453;2405;
SK0233500470;967;
SK0233500488;1172;
SK0233500518;339;
SK0233500534;256;
SK0233500569;537;
SK0233500577;2946;
SK0233500631;1353;
SK0233500640;1305;
SK0233500666;400;
SK0233500674;1144;
SK0233500682;1098;
SK0233500691;641;
SK0233500704;2095;
SK0233500712;852;
SK0233500780;583;
SK0233500798;279;
SK0233500844;713;
SK0233500887;4304;
SK0233500895;1611;
SK0233500917;2061;
SK0233500933;8432;
SK0233500941;2151;
SK0233500950;2239;
SK0233500992;1358;
SK0233501018;411;
SK0233545589;4322;
SK0233545635;847;
SK0233555851;1430;
SK0233555860;2022;
SK0233555886;1242;
SK0233555908;493;
SK0233555959;407;
SK0233555967;414;
SK0233555991;1438;
SK0233556696;2368;
SK0233556785;383;
SK0233558320;3020;
SK0233580899;3245;
SK0233581097;236;
SK0233581623;777;
SK0233581691;336;
SK0233582387;783;
SK0233582425;703;
SK0233582697;401;
SK0233582719;1181;
SK0234503011;36781;
SK0234503029;1751;
SK0234503037;396;
SK0234503045;3603;
SK0234503053;667;
SK0234503061;323;
SK0234503070;1587;
SK0234503088;1410;
SK0234503096;588;
SK0234503100;598;
SK0234503118;285;
SK0234503126;1041;
SK0234503134;650;
SK0234503151;1488;
SK0234503169;1547;
SK0234503177;4968;
SK0234503185;2072;
SK0234503193;1204;
SK0234503207;684;
